id,category,utterance
119,물가_경기,한국 경제가 불황에 들어간 거야?
120,물가_경기,지금 경제 상황에서 현금을 들고 있는 게 나아?
121,산업_업종,오늘 반도체 업종 분위기 어때?
122,산업_업종,은행주가 오르는 이유가 뭐야?
123,산업_업종,자동차주 전망 알려줘
124,산업_업종,2차전지 관련주가 왜 약해?
125,산업_업종,바이오주는 요즘 어떤 흐름이야?
126,산업_업종,증권주가 금리 인하 수혜를 받을까?
127,산업_업종,건설업 경기가 많이 안 좋은 편이야?
128,산업_업종,조선주가 강세인 이유가 뭐야?
129,산업_업종,방산주는 앞으로도 괜찮을까?
130,산업_업종,AI 관련주가 너무 오른 거 아니야?
131,산업_업종,오늘 가장 강한 업종이 어디야?
132,산업_업종,오늘 약세인 업종도 알려줘
133,산업_업종,환율 상승 수혜 업종은 뭐야?
134,산업_업종,유가 상승으로 영향을 받는 업종이 어디야?
135,산업_업종,업종별 시장 흐름을 간단히 정리해줘
136,외국인_기관_수급,오늘 외국인이 주식을 사고 있어?
137,외국인_기관_수급,외국인 순매수 종목 알려줘
138,외국인_기관_수급,기관은 오늘 매수 우위야?
139,외국인_기관_수급,개인 투자자만 사고 있는 장이야?
140,외국인_기관_수급,외국인이 계속 파는 이유가 뭐야?
141,외국인_기관_수급,수급이 좋다는 게 무슨 뜻이야?
142,외국인_기관_수급,오늘 코스피 투자자별 매매 동향 알려줘
143,외국인_기관_수급,외국인 선물 매매도 확인할 수 있어?
144,외국인_기관_수급,기관 수급이 강한 업종은 어디야?
145,외국인_기관_수급,연기금이 요즘 주식을 사고 있어?
146,외국인_기관_수급,외국인 자금이 다시 들어오는 분위기야?
147,외국인_기관_수급,환율이 외국인 수급에 어떤 영향을 줘?
148,외국인_기관_수급,프로그램 매매가 시장을 끌어내린 거야?
149,외국인_기관_수급,오늘 수급 기준으로 시장을 분석해줘
150,외국인_기관_수급,오늘 외국인과 기관이 동시에 사고 있는 종목이 있어?
151,기업실적_뉴스,오늘 주요 기업 실적 발표 뭐가 있어?
152,기업실적_뉴스,삼성전자 실적이 시장 예상보다 잘 나왔어?
153,기업실적_뉴스,기업 실적이 좋은데도 주가가 떨어지는 이유가 뭐야?
154,기업실적_뉴스,실적 시즌이 주식시장에 미치는 영향 알려줘
155,기업실적_뉴스,오늘 증시에 영향 준 기업 뉴스가 뭐야?
156,기업실적_뉴스,매출은 늘었는데 영업이익이 줄면 안 좋은 거야?
157,기업실적_뉴스,어닝 서프라이즈가 무슨 뜻이야?
158,기업실적_뉴스,실적 전망이 하향됐다는 건 어떤 의미야?
159,기업실적_뉴스,배당 발표가 주가에 영향을 줘?
160,기업실적_뉴스,자사주 매입은 보통 호재야?
161,기업실적_뉴스,유상증자는 왜 악재로 보는 경우가 많아?
162,기업실적_뉴스,기업 인수합병 뉴스가 주가에 어떤 영향을 줘?
163,기업실적_뉴스,오늘 공시 중에 중요한 것만 알려줘
164,기업실적_뉴스,실적 발표 전에 주가가 먼저 움직이는 이유가 뭐야
165,기업실적_뉴스,컨센서스보다 실적이 낮게 나오면 주가가 얼마나 영향받아?
166,정책_중앙은행,한국은행 발표 내용 요약해줘
167,정책_중앙은행,미국 연준이 이번에 뭐라고 했어?
168,정책_중앙은행,FOMC 결과가 시장 예상과 달랐어?
169,정책_중앙은행,정부 경제정책이 증시에 어떤 영향을 줄까?
170,정책_중앙은행,금융당국 발표 중 중요한 내용 있어?
171,정책_중앙은행,통화정책이 완화적이라는 게 무슨 뜻이야?
172,정책_중앙은행,연준 의장 발언이 왜 시장을 움직여?
173,정책_중앙은행,금리 점도표는 어떻게 보는 거야?
174,정책_중앙은행,양적긴축을 중단하면 시장에 호재야?
175,정책_중앙은행,정부의 부동산 대책이 금융시장에 미치는 영향은?
176,정책_중앙은행,재정지출 확대가 물가를 올릴 수 있어?
177,정책_중앙은행,중앙은행이 환율을 직접 관리할 수 있어?
178,정책_중앙은행,금리 인하 시점에 대한 최근 발언 알려줘
179,정책_중앙은행,정책 발표 이후 시장 반응을 정리해줘
180,투자심리_리스크,지금 시장 공포가 큰 편이야?
181,투자심리_리스크,변동성지수는 현재 어느 정도야?
182,투자심리_리스크,요즘 증시가 불안한 이유가 뭐야?
183,투자심리_리스크,지정학적 위험이 시장에 미치는 영향 알려줘
184,투자심리_리스크,경기 침체 우려가 이미 주가에 반영됐어?
185,투자심리_리스크,지금 위험자산 선호가 강한 상황이야?
186,투자심리_리스크,안전자산으로 돈이 이동하고 있어?
187,투자심리_리스크,시장 급락 가능성이 높은 편이야?
188,투자심리_리스크,요즘 투자자들이 가장 걱정하는 게 뭐야?
189,투자심리_리스크,증시 과열 여부를 확인하는 지표가 있어?
190,투자심리_리스크,공포탐욕지수는 어떻게 해석해?
191,투자심리_리스크,시장이 조정을 받는다는 게 무슨 뜻이야?
192,투자심리_리스크,리스크 오프 분위기라는 말이 무슨 의미야?
193,투자심리_리스크,현재 금융시장 위험 요인을 정리해줘
